Measured_Price,Estimated_Price,Estimated_Velocity,rel_diff
383.15,382.761927,0.110896,0.001014
383.0,382.919711,0.121,0.00021
382.8,382.951965,0.101875,-0.000397
381.8,382.591566,0.002251,-0.002069
382.8,382.669833,0.018633,0.00034
383.95,383.153577,0.118868,0.002079
381.1,382.471494,-0.053744,-0.003586
381.5,382.079388,-0.126664,-0.001516
382.3,382.08076,-0.099071,0.000574
377.4,380.292483,-0.46311,-0.007606
376.95,378.767788,-0.691892,-0.004799
376.0,377.310542,-0.856832,-0.003473
379.9,377.724309,-0.583007,0.00576
379.75,378.103094,-0.375732,0.004356
380.55,378.76803,-0.151458,0.004705
380.15,379.181926,-0.029619,0.002553
380.85,379.778223,0.105271,0.002822
380.65,380.166094,0.166174,0.001273
381.6,380.799664,0.266902,0.002102
381.3,381.15263,0.28545,0.000387
381.3,381.387171,0.274479,-0.000229
380.85,381.362406,0.209989,-0.001344
380.4,381.140149,0.116836,-0.001942
379.35,380.553905,-0.034684,-0.003164
379.35,380.088145,-0.127585,-0.001942
380.35,380.104142,-0.096642,0.000647
381.0,380.373421,-0.017783,0.001647
381.9,380.925023,0.104925,0.002559
381.55,381.221684,0.146246,0.000861
382.95,381.951218,0.27195,0.002615
383.0,382.509575,0.333673,0.001282
384.25,383.361898,0.445447,0.002317
383.0,383.509688,0.381299,-0.001329
382.85,383.507189,0.298587,-0.001714
381.55,382.974103,0.119354,-0.003719
381.55,382.524405,-0.003282,-0.002547
382.15,382.384295,-0.03277,-0.000613
382.15,382.277226,-0.048782,-0.000333
387.0,383.987651,0.330343,0.007845
386.3,385.048733,0.487824,0.00325
386.3,385.818028,0.548484,0.001249
388.0,386.968756,0.678273,0.002665
388.0,387.777165,0.706318,0.000575
388.5,388.489573,0.707631,2.7e-05
388.1,388.792679,0.620452,-0.001782
386.25,388.246928,0.369125,-0.005143
385.65,387.52251,0.133456,-0.004832
386.9,387.377252,0.073391,-0.001232
386.85,387.229194,0.025666,-0.000979
381.55,385.151557,-0.427615,-0.009351
382.1,383.756531,-0.636101,-0.004317
381.85,382.65204,-0.737043,-0.002096
380.65,381.44861,-0.837554,-0.002094
380.6,380.60698,-0.838432,-1.8e-05
